elevation,slope,distance_to_drain,drain_density,rainfall,drain_blockage,event_count,water_accumulation,flood
231.0,0.001190476190476204,0.0,37,139.59455861008715,0.5821199834842287,4.0,3.7180899896464483,0
213.0,0.007619047619047639,0.0,112,321.28618885791246,0.0,0.0,2.834118169650326,0
218.0,0.0014285714285714353,0.0,53,187.09321330279423,0.0,0.0,3.492073594089537,0
213.0,0.008452380952380973,0.0,37,336.97219027616745,0.0,0.0,8.909972612095869,0
214.0,0.006428571428571435,0.0,113,318.49851198541444,0.0,0.0,2.788114727323546,0
216.0,0.0020238095238095375,0.0,77,146.56190504096827,0.0,0.0,1.8872940859576606,0
218.0,0.000714285714285694,0.0,109,199.1683127620616,0.0,0.0,1.8175894948083768,0
217.0,0.004404761904761898,0.0,73,251.76433967189874,0.0,0.0,3.4102772476127132,0
222.0,0.003095238095238102,0.0,35,296.85074168430333,0.0,0.0,8.336110365071615,0
220.0,0.0033333333333333335,0.0,98,323.16980638610494,0.0,0.0,3.2699753674939216,0
229.0,0.0,0.0,42,38.95652156167742,0.0,0.0,0.9166240367453511,0
232.0,0.0033333333333333335,0.0,20,269.75639934596677,0.0,0.0,13.1149859194218,0
228.0,0.004523809523809538,0.0,33,338.17777697863374,0.0,0.0,10.049191794937226,0
232.0,0.005,0.0,8,347.5183799951663,0.0,0.0,40.68009271708123,0
226.0,0.0025,0.0,17,230.24053455088773,0.0,0.0,13.123710469400601,0
224.0,0.001190476190476204,0.0,27,157.49821498733144,0.0,0.0,5.720389713176237,0
219.0,0.005119047619047639,0.0,33,338.55040463128057,0.0,0.0,10.054249223538065,0
231.0,0.010833333333333334,0.0,10,292.32532986139006,0.0,0.0,27.538902106783333,0
236.0,0.0021428571428571295,0.0,22,291.2140738537001,0.0,0.0,12.915113053130762,0
223.0,0.006071428571428564,0.0,1,20.25017003921736,0.0,0.0,13.418148385509978,0
227.0,0.0029761904761904626,0.0,8,209.80950239626725,0.0,0.0,24.610008159226027,0
236.0,0.011904761904761897,0.0,30,28.74809351325696,0.0,0.0,0.9313394854021576,0
233.0,0.00785714285714287,0.0,25,116.8268358223387,0.0,0.0,4.545447477793513,0
244.0,0.02238095238095236,0.0,11,25.035477888186115,0.0,0.0,2.1282747869335856,0
234.0,0.004285714285714306,0.0,21,345.87610417080333,0.0,0.0,16.018315256282385,0
233.0,0.003095238095238102,0.0,45,264.4882275104012,0.0,0.0,5.7949356807223955,0
